year,game_code,a_team_name,a_name_conference,a_team_code,a_result,a_points,b_team_code,team_name,name_conference,b_result,b_points,half_leader,a_rush,b_rush,a_offense_rush_yards,b_defense_rush_yards,a_defense_rush_yards,b_offense_rush_yards,a_offense_pass_yards,b_defense_pass_yards,a_defense_pass_yards,b_offense_pass_yards,a_pass,b_pass,a_incomplete_pass,b_incomplete_pass,a_penalty,b_penalty,a_penalty_yards,b_penalty_yards,half_diff_score,half_diff_score_abs,hometeam,b_home,visit_date,stadium_code,stadium_name,site,city,state,capacity,surface,surfaceint,year_opened
2008,1.96E+14,East Carolina                                     ,Conference USA                                                             ,196,0,3,664,Southern Mississippi                              ,Conference USA                                                             ,1,7,BTEAM     ,15,15,36,36,39,39,109,109,58,58,15,17,4,7,0,4,0,33,-4,4,B,1,10/10/2009,122,Gerald Ford Stadium                                                        ,TEAM           ,Dallas                                                                     ,TX,32000,A-Turf                   ,0,2000
2009,1.96E+14,East Carolina                                     ,Conference USA                                                             ,196,0,7,663,SMU                                               ,Big East Conference/American Athletic                                      ,1,7,TIED      ,28,6,144,144,16,16,76,76,93,93,12,16,3,8,2,1,16,5,0,0,B,1,11/15/2008,75,Roberts Stadium                                                            ,TEAM           ,Hattiesburg                                                                ,MS,33000,Sportexe Momentum        ,0,1976
2010,1.96E+14,Southern Mississippi                              ,Conference USA                                                             ,664,0,20,196,East Carolina                                     ,Conference USA                                                             ,1,17,ATEAM     ,21,14,67,67,35,35,93,93,115,115,19,21,10,12,2,5,9,73,3,3,A,0,10/9/2010,75,Roberts Stadium                                                            ,TEAM           ,Hattiesburg                                                                ,MS,33000,Sportexe Momentum        ,0,1976
2012,1.96E+14,Southern Mississippi                              ,Conference USA                                                             ,664,0,7,196,East Carolina                                     ,Conference USA                                                             ,1,0,ATEAM     ,25,14,99,99,-4,-4,20,20,78,78,9,17,6,11,1,4,10,30,7,7,A,0,9/15/2012,75,Roberts Stadium                                                            ,TEAM           ,Hattiesburg                                                                ,MS,33000,Sportexe Momentum        ,0,1976
2012,1.96E+14,Louisiana-Lafayette                               ,Sun Belt Conference                                                        ,671,1,28,196,East Carolina                                     ,Conference USA                                                             ,0,21,ATEAM     ,23,14,159,159,49,49,206,206,163,163,19,19,6,6,0,1,0,10,7,7,A,0,12/22/2012,58,Louisiana Superdome                                                        ,NEUTRAL        ,New Orleans                                                                ,LA,69082,FieldTurf                ,0,1975
2011,1.96E+14,UTEP                                              ,Conference USA                                                             ,704,1,16,196,East Carolina                                     ,Conference USA                                                             ,0,7,ATEAM     ,22,16,-21,-21,57,57,113,113,85,85,16,16,5,10,1,2,20,20,9,9,A,0,11/12/2011,124,Sun Bowl                                                                   ,TEAM           ,El Paso                                                                    ,TX,50426,AstroPlay                ,0,1963
2008,1.96E+14,East Carolina                                     ,Conference USA                                                             ,196,1,7,718,Tulane                                            ,Conference USA                                                             ,0,7,TIED      ,14,23,95,95,-56,-56,92,92,69,69,10,20,4,7,1,3,5,25,0,0,B,1,9/13/2008,58,Louisiana Superdome                                                        ,TEAM           ,New Orleans                                                                ,LA,69082,FieldTurf                ,0,1975
2008,1.96E+14,East Carolina                                     ,Conference USA                                                             ,196,1,17,719,Tulsa                                             ,Conference USA                                                             ,0,17,TIED      ,14,29,23,23,84,84,84,84,170,170,12,24,5,9,1,3,5,24,0,0,B,1,11/17/2012,58,Louisiana Superdome                                                        ,TEAM           ,New Orleans                                                                ,LA,69082,FieldTurf                ,0,1975
2009,1.96E+14,Tulsa                                             ,Conference USA                                                             ,719,0,7,196,East Carolina                                     ,Conference USA                                                             ,1,20,BTEAM     ,11,28,-5,-5,181,181,119,119,200,200,23,16,12,3,3,1,15,10,-13,13,A,0,12/6/2008,105,Skelly Stadium                                                             ,TEAM           ,Tulsa                                                                      ,OK,40385,FieldTurf                ,0,1930
2012,1.96E+14,Tulane                                            ,Conference USA                                                             ,718,0,10,196,East Carolina                                     ,Conference USA                                                             ,1,14,BTEAM     ,12,18,38,38,56,56,136,136,134,134,29,23,13,9,2,4,18,31,-4,4,B,1,11/15/2009,105,Skelly Stadium                                                             ,TEAM           ,Tulsa                                                                      ,OK,40385,FieldTurf                ,0,1930
2011,1.96E+14,Navy                                              ,Independent                                                                ,726,0,7,196,East Carolina                                     ,Conference USA                                                             ,1,14,BTEAM     ,25,20,64,64,46,46,25,25,248,248,4,26,2,2,0,0,0,0,-7,7,A,0,10/22/2011,62,Navy-Marine Corps Memorial Stadium                                         ,TEAM           ,Annapolis                                                                  ,MD,35000,FieldTurf                ,0,1959
2010,1.96E+14,Virginia Tech                                     ,Atlantic Coast Conference                                                  ,742,1,21,196,East Carolina                                     ,Conference USA                                                             ,0,24,BTEAM     ,15,19,70,70,74,74,105,105,200,200,9,25,4,8,4,1,40,12,-3,3,A,0,9/18/2010,136,Lane Stadium                                                               ,TEAM           ,Blacksburg                                                                 ,VA,66233,Grass                    ,1,1965
2009,1.96E+14,East Carolina                                     ,Conference USA                                                             ,196,0,20,768,West Virginia                                     ,Big 12 Conference                                                          ,1,21,BTEAM     ,18,13,46,46,59,59,100,100,184,184,19,16,10,4,5,2,41,10,-1,1,B,1,9/12/2009,143,Mountaineer Field                                                          ,TEAM           ,Morgantown                                                                 ,WV,63500,FieldTurf                ,0,1980
2008,2.01E+14,Eastern Illinois                                  ,OVC                                                                        ,201,0,3,129,Central Michigan                                  ,Mid-American Conference                                                    ,1,17,BTEAM     ,13,21,95,95,6,6,93,93,152,152,15,19,5,6,2,3,20,34,-14,14,B,1,8/28/2008,70,Kelly/Shorts Stadium                                                       ,TEAM           ,Mount Pleasant                                                             ,MI,30199,FieldTurf                ,0,1972
2013,2.01E+14,Northern Illinois                                 ,Mid-American Conference                                                    ,503,1,23,201,Eastern Illinois                                  ,OVC                                                                        ,0,20,ATEAM     ,20,17,147,147,60,60,102,102,186,186,18,29,6,8,4,4,20,20,3,3,A,0,9/21/2013,45,Huskie Stadium                                                             ,TEAM           ,De Kalb                                                                    ,IL,30076,FieldTurf                ,0,1965
2013,2.01E+14,Eastern Illinois                                  ,OVC                                                                        ,201,1,19,626,San Diego State                                   ,Mountain West Conference                                                   ,0,16,ATEAM     ,16,20,77,77,76,76,151,151,180,180,24,28,8,14,4,4,25,22,3,3,B,1,8/31/2013,16,Qualcomm Stadium                                                           ,TEAM           ,San Diego                                                                  ,CA,71294,Grass                    ,1,1967
2009,2.02E+14,Eastern Kentucky                                  ,OVC                                                                        ,202,0,10,306,Indiana                                           ,Big Ten Conference                                                         ,1,19,BTEAM     ,15,18,59,59,-28,-28,98,98,259,259,8,19,3,3,3,6,15,35,-9,9,B,1,9/3/2009,47,Memorial Stadium                                                           ,TEAM           ,Bloomington                                                                ,IN,52000,AstroPlay                ,0,1960
2009,2.02E+14,Eastern Kentucky                                  ,OVC                                                                        ,202,0,6,334,Kentucky                                          ,Southeastern Conference                                                    ,1,17,BTEAM     ,13,26,58,58,6,6,74,74,148,148,13,20,9,5,1,3,5,10,-11,11,B,1,9/3/2011,52,Bill Snyder Family                                                         ,TEAM           ,Manhattan                                                                  ,KS,50300,FieldTurf                ,0,1968
2011,2.02E+14,Kansas State                                      ,Big 12 Conference                                                          ,327,1,0,202,Eastern Kentucky                                  ,OVC                                                                        ,0,0,TIED      ,25,14,54,54,2,2,9,9,-5,-5,12,16,4,10,2,2,30,10,0,0,B,1,11/7/2009,53,Commonwealth Stadium                                                       ,TEAM           ,Lexington                                                                  ,KY,67606,Grass                    ,1,1973
2009,2.04E+14,Akron                                             ,Mid-American Conference                                                    ,5,1,21,204,Eastern Michigan                                  ,Mid-American Conference                                                    ,0,14,ATEAM     ,15,25,108,108,104,104,52,52,126,126,8,16,2,7,1,0,5,0,7,7,A,0,11/27/2009,154,InfoCision Stadium-Summa Field                                             ,TEAM           ,Akron                                                                      ,OH,30000,ProGrass                 ,0,2009
2008,2.04E+14,Eastern Michigan                                  ,Mid-American Conference                                                    ,204,0,0,47,Ball State                                        ,Mid-American Conference                                                    ,1,10,BTEAM     ,19,13,32,32,71,71,45,45,36,36,16,19,7,11,0,1,0,2,-10,10,B,1,10/25/2008,48,Scheumann Stadium                                                          ,TEAM           ,Munice                                                                     ,IN,22500,FieldTurf                ,0,1967
2010,2.04E+14,Eastern Michigan                                  ,Mid-American Conference                                                    ,204,0,14,47,Ball State                                        ,Mid-American Conference                                                    ,1,28,BTEAM     ,20,22,113,113,131,131,85,85,88,88,9,17,3,7,2,2,10,10,-14,14,B,1,10/16/2010,48,Scheumann Stadium                                                          ,TEAM           ,Munice                                                                     ,IN,22500,FieldTurf                ,0,1967
2012,2.04E+14,Eastern Michigan                                  ,Mid-American Conference                                                    ,204,0,13,47,Ball State                                        ,Mid-American Conference                                                    ,1,13,TIED      ,23,17,101,101,98,98,82,82,173,173,13,29,7,8,1,1,14,5,0,0,B,1,8/30/2012,48,Scheumann Stadium                                                          ,TEAM           ,Munice                                                                     ,IN,22500,FieldTurf                ,0,1967
2008,2.04E+14,Eastern Michigan                                  ,Mid-American Conference                                                    ,204,1,7,71,Bowling Green                                     ,Mid-American Conference                                                    ,0,7,TIED      ,14,16,33,33,64,64,136,136,107,107,17,18,5,6,4,2,28,31,0,0,B,1,10/4/2008,96,Doyt Perry Stadium                                                         ,TEAM           ,Bowling Green                                                              ,OH,28599,FieldTurf                ,0,1966
2012,2.04E+14,Eastern Michigan                                  ,Mid-American Conference                                                    ,204,0,3,71,Bowling Green                                     ,Mid-American Conference                                                    ,1,14,BTEAM     ,15,17,46,46,114,114,64,64,94,94,15,15,7,8,2,1,20,5,-11,11,B,1,10/27/2012,96,Doyt Perry Stadium                                                         ,TEAM           ,Bowling Green                                                              ,OH,28599,FieldTurf                ,0,1966
2010,2.04E+14,Buffalo                                           ,Mid-American Conference                                                    ,86,0,7,204,Eastern Michigan                                  ,Mid-American Conference                                                    ,1,14,BTEAM     ,14,26,47,47,130,130,100,100,-27,-27,14,6,4,1,4,1,45,5,-7,7,A,0,11/20/2010,91,UB Stadium                                                                 ,TEAM           ,Buffalo                                                                    ,NY,31000,Sportexe Momentum        ,0,1993
2011,2.04E+14,Eastern Michigan                                  ,Mid-American Conference                                                    ,204,1,7,129,Central Michigan                                  ,Mid-American Conference                                                    ,0,6,ATEAM     ,17,17,97,97,32,32,48,48,130,130,5,19,1,7,4,1,30,10,1,1,B,1,10/15/2011,70,Kelly/Shorts Stadium                                                       ,TEAM           ,Mount Pleasant                                                             ,MI,30199,FieldTurf                ,0,1972
2013,2.04E+14,Central Michigan                                  ,Mid-American Conference                                                    ,129,1,21,204,Eastern Michigan                                  ,Mid-American Conference                                                    ,0,10,ATEAM     ,18,18,174,174,182,182,83,83,91,91,11,21,3,11,3,1,20,15,11,11,A,0,11/29/2013,70,Kelly/Shorts Stadium                                                       ,TEAM           ,Mount Pleasant                                                             ,MI,30199,FieldTurf                ,0,1972
2011,2.04E+14,Eastern Michigan                                  ,Mid-American Conference                                                    ,204,0,13,331,Kent State                                        ,Mid-American Conference                                                    ,1,14,BTEAM     ,20,24,77,77,144,144,-11,-11,66,66,6,14,2,9,2,4,10,23,-1,1,B,1,11/19/2011,100,Dix Stadium                                                                ,TEAM           ,Kent                                                                       ,OH,29287,FieldTurf                ,0,1969
2008,2.04E+14,Maryland                                          ,Atlantic Coast Conference                                                  ,392,1,24,204,Eastern Michigan                                  ,Mid-American Conference                                                    ,0,14,ATEAM     ,14,17,72,72,73,73,52,52,152,152,13,23,5,5,1,1,15,0,10,10,A,0,9/20/2008,64,Byrd Stadium                                                               ,TEAM           ,College Park                                                               ,MD,62000,Grass                    ,1,1950
2010,2.04E+14,Eastern Michigan                                  ,Mid-American Conference                                                    ,204,0,14,414,Miami (Ohio)                                      ,Mid-American Conference                                                    ,1,14,TIED      ,16,20,39,39,137,137,88,88,52,52,15,13,6,5,1,1,5,5,0,0,B,1,9/11/2010,101,Fred C. Yager Stadium                                                      ,TEAM           ,Oxford                                                                     ,OH,30012,FieldTurf                ,0,1983
2008,2.04E+14,Eastern Michigan                                  ,Mid-American Conference                                                    ,204,0,7,416,Michigan State                                    ,Big Ten Conference                                                         ,1,21,BTEAM     ,10,32,63,63,48,48,51,51,86,86,13,11,7,4,0,2,0,10,-14,14,B,1,9/6/2008,68,Spartan Stadium                                                            ,TEAM           ,East Lansing                                                               ,MI,73000,Grass                    ,1,1923
2009,2.04E+14,Michigan                                          ,Big Ten Conference                                                         ,418,1,24,204,Eastern Michigan                                  ,Mid-American Conference                                                    ,0,17,ATEAM     ,19,27,210,210,123,123,92,92,44,44,9,10,3,4,1,1,5,15,7,7,B,1,9/22/2012,68,Spartan Stadium                                                            ,TEAM           ,East Lansing                                                               ,MI,73000,Grass                    ,1,1923
2011,2.04E+14,Michigan                                          ,Big Ten Conference                                                         ,418,1,14,204,Eastern Michigan                                  ,Mid-American Conference                                                    ,0,3,ATEAM     ,21,30,194,194,35,35,-21,-21,-27,-27,8,5,5,1,2,0,20,0,11,11,A,0,9/19/2009,66,Michigan Stadium                                                           ,TEAM           ,Ann Arbor                                                                  ,MI,107501,FieldTurf                ,0,1927
2012,2.04E+14,Eastern Michigan                                  ,Mid-American Conference                                                    ,204,0,7,416,Michigan State                                    ,Big Ten Conference                                                         ,1,3,ATEAM     ,15,18,8,8,120,120,58,58,85,85,13,19,6,11,1,2,5,20,4,4,B,1,9/17/2011,66,Michigan Stadium                                                           ,TEAM           ,Ann Arbor                                                                  ,MI,107501,FieldTurf                ,0,1927
2011,2.04E+14,Eastern Michigan                                  ,Mid-American Conference                                                    ,204,0,3,503,Northern Illinois                                 ,Mid-American Conference                                                    ,1,12,BTEAM     ,18,22,35,35,130,130,37,37,86,86,10,13,5,6,4,1,27,5,-9,9,B,1,11/25/2011,45,Huskie Stadium                                                             ,TEAM           ,De Kalb                                                                    ,IL,30076,FieldTurf                ,0,1965
2012,2.04E+14,Ohio                                              ,Mid-American Conference                                                    ,519,1,24,204,Eastern Michigan                                  ,Mid-American Conference                                                    ,0,14,ATEAM     ,21,22,176,176,82,82,129,129,85,85,24,13,7,8,0,0,0,0,10,10,A,0,11/1/2012,95,Peden Stadium                                                              ,TEAM           ,Athens                                                                     ,OH,24000,FieldTurf                ,0,1929
2013,2.04E+14,Penn State                                        ,Big Ten Conference                                                         ,539,1,17,204,Eastern Michigan                                  ,Mid-American Conference                                                    ,0,7,ATEAM     ,14,20,138,138,20,20,157,157,93,93,22,18,6,6,2,4,8,31,10,10,A,0,9/7/2013,111,Beaver Stadium                                                             ,TEAM           ,University Park                                                            ,PA,107282,Grass                    ,1,1960
2013,2.04E+14,Eastern Michigan                                  ,Mid-American Conference                                                    ,204,0,10,587,Rutgers                                           ,Big East Conference/American Athletic                                      ,1,14,BTEAM     ,20,16,49,49,40,40,163,163,89,89,15,8,6,3,4,2,30,15,-4,4,B,1,9/14/2013,86,High Point Solutions Stadium                                               ,TEAM           ,Piscataway                                                                 ,NJ,52454,FieldTurf                ,0,1994
2008,2.04E+14,Temple                                            ,Big East Conference/American Athletic                                      ,690,1,24,204,Eastern Michigan                                  ,Mid-American Conference                                                    ,0,21,ATEAM     ,17,4,55,55,17,17,212,212,243,243,23,41,11,14,2,1,10,5,3,3,A,0,11/22/2008,109,Lincoln Financial Field                                                    ,TEAM           ,Philadelphia                                                               ,PA,66000,Grass                    ,1,2003
2009,2.04E+14,Eastern Michigan                                  ,Mid-American Conference                                                    ,204,0,14,709,Toledo                                            ,Mid-American Conference                                                    ,1,26,BTEAM     ,12,28,101,101,226,226,111,111,5,5,6,13,1,6,1,1,10,5,-12,12,B,1,11/20/2009,102,Glass Bowl                                                                 ,TEAM           ,Toledo                                                                     ,OH,26248,NexTurf                  ,0,1937
2011,2.04E+14,Toledo                                            ,Mid-American Conference                                                    ,709,1,23,204,Eastern Michigan                                  ,Mid-American Conference                                                    ,0,9,ATEAM     ,11,16,-26,-26,56,56,186,186,97,97,17,15,3,5,6,2,40,15,14,14,A,0,10/8/2011,102,Glass Bowl                                                                 ,TEAM           ,Toledo                                                                     ,OH,26248,NexTurf                  ,0,1937
2008,2.04E+14,Eastern Michigan                                  ,Mid-American Conference                                                    ,204,0,13,725,Army                                              ,Independent                                                                ,1,7,ATEAM     ,21,21,119,119,62,62,42,42,0,0,8,2,3,2,2,4,5,30,6,6,B,1,10/11/2008,93,Michie Stadium                                                             ,TEAM           ,West Point                                                                 ,NY,40000,AstroPlay                ,0,1924
2013,2.04E+14,Army                                              ,Independent                                                                ,725,1,22,204,Eastern Michigan                                  ,Mid-American Conference                                                    ,0,18,ATEAM     ,27,19,209,209,118,118,26,26,88,88,4,14,1,5,0,2,0,10,4,4,A,0,10/12/2013,93,Michie Stadium                                                             ,TEAM           ,West Point                                                                 ,NY,40000,AstroPlay                ,0,1924
2010,2.04E+14,Eastern Michigan                                  ,Mid-American Conference                                                    ,204,0,14,746,Virginia                                          ,Atlantic Coast Conference                                                  ,1,17,BTEAM     ,20,19,205,205,81,81,16,16,156,156,6,22,3,10,1,2,5,20,-3,3,B,1,10/23/2010,137,Scott Stadium                                                              ,TEAM           ,Charlottesville                                                            ,VA,60000,Grass                    ,1,1931
2008,2.04E+14,Western Michigan                                  ,Mid-American Conference                                                    ,774,1,17,204,Eastern Michigan                                  ,Mid-American Conference                                                    ,0,7,ATEAM     ,16,20,14,14,99,99,114,114,43,43,19,14,6,5,2,5,20,40,10,10,A,0,11/1/2008,69,Waldo Stadium                                                              ,TEAM           ,Kalamazoo                                                                  ,MI,30200,FieldTurf                ,0,1937
2010,2.04E+14,Eastern Michigan                                  ,Mid-American Conference                                                    ,204,0,21,774,Western Michigan                                  ,Mid-American Conference                                                    ,1,24,BTEAM     ,28,13,114,114,77,77,91,91,190,190,14,13,5,3,2,3,30,25,-3,3,B,1,11/13/2010,69,Waldo Stadium                                                              ,TEAM           ,Kalamazoo                                                                  ,MI,30200,FieldTurf                ,0,1937
2012,2.04E+14,Western Michigan                                  ,Mid-American Conference                                                    ,774,0,14,204,Eastern Michigan                                  ,Mid-American Conference                                                    ,1,17,BTEAM     ,8,24,3,3,160,160,162,162,104,104,25,15,7,6,3,4,19,20,-3,3,A,0,11/17/2012,69,Waldo Stadium                                                              ,TEAM           ,Kalamazoo                                                                  ,MI,30200,FieldTurf                ,0,1937
2008,2.07E+14,Colorado                                          ,Pac-12/Pac-10 Conference                                                   ,157,1,7,207,Eastern Washington                                ,Big Sky                                                                    ,0,21,BTEAM     ,19,11,66,66,25,25,136,136,177,177,18,24,5,7,2,3,16,25,-14,14,A,0,9/6/2008,20,Folsom Field                                                               ,TEAM           ,Boulder                                                                    ,CO,53245,Grass                    ,1,1924
2012,2.07E+14,Idaho                                             ,Independent                                                                ,295,0,3,207,Eastern Washington                                ,Big Sky                                                                    ,1,10,BTEAM     ,18,13,40,40,38,38,85,85,138,138,14,22,8,13,7,4,40,32,-7,7,A,0,8/30/2012,43,Kibbie Dome                                                                ,TEAM           ,Moscow                                                                     ,ID,15820,AstroTurf                ,0,1975
2013,2.07E+14,Oregon State                                      ,Pac-12/Pac-10 Conference                                                   ,528,0,17,207,Eastern Washington                                ,Big Sky                                                                    ,1,29,BTEAM     ,9,18,40,40,109,109,183,183,259,259,22,18,6,5,2,3,15,15,-12,12,A,0,8/31/2013,107,Reser Stadium                                                              ,TEAM           ,Corvallis                                                                  ,OR,35362,FieldTurf                ,0,1953
2008,2.07E+14,Texas Tech                                        ,Big 12 Conference                                                          ,700,1,28,207,Eastern Washington                                ,Big Sky                                                                    ,0,14,ATEAM     ,16,11,51,51,12,12,282,282,154,154,33,29,8,10,5,9,24,74,14,14,A,0,8/30/2008,129,Jones SBC Stadium                                                          ,TEAM           ,Lubbock                                                                    ,TX,50000,FieldTurf                ,0,1947
2013,2.07E+14,Toledo                                            ,Mid-American Conference                                                    ,709,1,16,207,Eastern Washington                                ,Big Sky                                                                    ,0,14,ATEAM     ,26,9,214,214,2,2,33,33,192,192,13,22,6,8,6,7,41,57,2,2,A,0,9/14/2013,102,Glass Bowl                                                                 ,TEAM           ,Toledo                                                                     ,OH,26248,NexTurf                  ,0,1937
2012,2.07E+14,Washington State                                  ,Pac-12/Pac-10 Conference                                                   ,754,1,21,207,Eastern Washington                                ,Big Sky                                                                    ,0,14,ATEAM     ,16,17,47,47,56,56,133,133,230,230,18,21,5,12,3,1,20,10,7,7,A,0,9/8/2012,138,Martin Stadium                                                             ,TEAM           ,Pullman                                                                    ,WA,40000,FieldTurf                ,0,1972
2011,2.07E+14,Eastern Washington                                ,Big Sky                                                                    ,207,0,10,756,Washington                                        ,Pac-12/Pac-10 Conference                                                   ,1,20,BTEAM     ,9,14,24,24,78,78,240,240,53,53,36,16,15,7,3,2,25,10,-10,10,B,1,9/3/2011,139,Husky Stadium                                                              ,TEAM           ,Seattle                                                                    ,WA,72500,FieldTurf                ,0,1920
2010,2.29E+14,UAB                                               ,Conference USA                                                             ,9,0,21,229,Florida Atlantic                                  ,Conference USA                                                             ,1,12,ATEAM     ,18,15,162,162,30,30,60,60,146,146,12,13,4,5,2,2,10,15,9,9,A,0,11/7/2009,2,Legion Field                                                               ,TEAM           ,Birmingham                                                                 ,AL,71594,FieldTurf                ,0,1927
2013,2.29E+14,UAB                                               ,Conference USA                                                             ,9,0,13,229,Florida Atlantic                                  ,Conference USA                                                             ,1,23,BTEAM     ,13,25,22,22,114,114,145,145,150,150,14,20,5,8,0,2,0,12,-10,10,A,0,10/5/2013,2,Legion Field                                                               ,TEAM           ,Birmingham                                                                 ,AL,71594,FieldTurf                ,0,1927
2008,2.29E+14,Arkansas State                                    ,Sun Belt Conference                                                        ,30,1,14,229,Florida Atlantic                                  ,Conference USA                                                             ,0,14,TIED      ,16,14,32,32,64,64,190,190,124,124,16,26,4,14,0,2,0,20,0,0,A,0,11/22/2008,7,ASU Stadium                                                                ,TEAM           ,Jonesboro                                                                  ,AR,30964,FieldTurf                ,0,1974
2010,2.29E+14,Arkansas State                                    ,Sun Belt Conference                                                        ,30,1,9,229,Florida Atlantic                                  ,Conference USA                                                             ,0,7,ATEAM     ,24,12,151,151,9,9,100,100,114,114,24,16,10,6,3,2,20,10,2,2,A,0,10/23/2010,7,ASU Stadium                                                                ,TEAM           ,Jonesboro                                                                  ,AR,30964,FieldTurf                ,0,1974
2011,2.29E+14,Florida Atlantic                                  ,Conference USA                                                             ,229,0,6,37,Auburn                                            ,Southeastern Conference                                                    ,1,10,BTEAM     ,10,19,33,33,67,67,140,140,93,93,20,16,5,5,1,6,5,51,-4,4,B,1,9/24/2011,1,Jordan-Hare Stadium                                                        ,TEAM           ,Auburn                                                                     ,AL,87451,Grass                    ,1,1939
2008,2.29E+14,Central Michigan                                  ,Mid-American Conference                                                    ,129,0,10,229,Florida Atlantic                                  ,Conference USA                                                             ,1,10,TIED      ,16,18,53,53,30,30,91,91,158,158,17,20,4,10,1,0,10,0,0,0,A,0,12/26/2008,67,Ford Field                                                                 ,NEUTRAL        ,Detroit                                                                    ,MI,65000,FieldTurf                ,0,2002
2009,2.29E+14,Florida International                             ,Conference USA                                                             ,231,0,7,229,Florida Atlantic                                  ,Conference USA                                                             ,1,14,BTEAM     ,16,20,58,58,75,75,92,92,155,155,17,18,8,7,2,4,15,45,-7,7,A,0,12/5/2009,31,FIU Stadium                                                                ,TEAM           ,Miami                                                                      ,FL,17000,AstroPlay                ,0,1995
2012,2.29E+14,Georgia                                           ,Southeastern Conference                                                    ,257,1,28,229,Florida Atlantic                                  ,Conference USA                                                             ,0,14,ATEAM     ,19,21,165,165,82,82,176,176,123,123,10,23,2,8,2,2,15,14,14,14,A,0,9/15/2012,36,Sanford Stadium                                                            ,TEAM           ,Athens                                                                     ,GA,92746,Grass                    ,1,1929
2008,2.29E+14,Michigan State                                    ,Big Ten Conference                                                         ,416,1,7,229,Florida Atlantic                                  ,Conference USA                                                             ,0,0,ATEAM     ,28,17,151,151,-14,-14,42,42,-33,-33,11,18,7,13,3,1,25,10,7,7,B,1,8/30/2013,30,Sun Life Stadium                                                           ,TEAM           ,Miami                                                                      ,FL,75235,Grass                    ,1,1987
2010,2.29E+14,Middle Tennessee                                  ,Conference USA                                                             ,419,1,14,229,Florida Atlantic                                  ,Conference USA                                                             ,0,7,ATEAM     ,18,21,91,91,26,26,141,141,130,130,9,19,0,7,1,3,5,20,7,7,B,1,9/13/2008,68,Spartan Stadium                                                            ,TEAM           ,East Lansing                                                               ,MI,73000,Grass                    ,1,1923
2012,2.29E+14,Florida Atlantic                                  ,Conference USA                                                             ,229,0,0,419,Middle Tennessee                                  ,Conference USA                                                             ,1,7,BTEAM     ,14,26,11,11,-44,-44,54,54,84,84,14,6,2,1,2,0,10,0,-7,7,B,1,11/27/2010,116,Floyd Stadium                                                              ,TEAM           ,Murfreesboro                                                               ,TN,30788,AstroTurf                ,0,1998
2008,2.29E+14,Minnesota                                         ,Big Ten Conference                                                         ,428,1,16,229,Florida Atlantic                                  ,Conference USA                                                             ,0,3,ATEAM     ,17,17,90,90,28,28,51,51,89,89,13,22,3,9,4,3,20,25,13,13,A,0,9/20/2008,72,Metrodome                                                                  ,TEAM           ,Minneapolis                                                                ,MN,65000,FieldTurf                ,0,1982
2008,2.29E+14,Louisiana-Monroe                                  ,Sun Belt Conference                                                        ,498,0,21,229,Florida Atlantic                                  ,Conference USA                                                             ,1,14,ATEAM     ,18,17,143,143,15,15,76,76,97,97,14,19,2,5,3,2,35,16,7,7,B,1,10/17/2009,123,Fouts Field                                                                ,TEAM           ,Denton                                                                     ,TX,30500,AstroTurf                ,0,1951
2009,2.29E+14,Florida Atlantic                                  ,Conference USA                                                             ,229,1,27,497,North Texas                                       ,Conference USA                                                             ,0,19,ATEAM     ,18,23,125,125,152,152,175,175,112,112,23,9,9,3,1,3,15,45,8,8,B,1,10/8/2011,160,Apogee Stadium                                                             ,TEAM           ,Denton                                                                     ,TX,30850,FieldTurf                ,0,2011
2010,2.29E+14,Florida Atlantic                                  ,Conference USA                                                             ,229,0,0,498,Louisiana-Monroe                                  ,Sun Belt Conference                                                        ,1,12,BTEAM     ,11,21,48,48,-35,-35,-48,-48,185,185,8,27,4,8,1,1,5,5,-12,12,B,1,10/25/2008,57,Malone Stadium                                                             ,TEAM           ,Monroe                                                                     ,LA,30427,ProPlay                  ,0,1978
2011,2.29E+14,North Texas                                       ,Conference USA                                                             ,497,1,7,229,Florida Atlantic                                  ,Conference USA                                                             ,0,0,ATEAM     ,18,17,35,35,35,35,69,69,21,21,19,15,11,8,1,0,5,0,7,7,B,1,10/9/2010,57,Malone Stadium                                                             ,TEAM           ,Monroe                                                                     ,LA,30427,ProPlay                  ,0,1978
2012,2.29E+14,Louisiana-Monroe                                  ,Sun Belt Conference                                                        ,498,1,21,229,Florida Atlantic                                  ,Conference USA                                                             ,0,7,ATEAM     ,14,20,112,112,112,112,16,16,139,139,11,19,9,7,6,1,52,10,14,14,A,0,10/13/2012,57,Malone Stadium                                                             ,TEAM           ,Monroe                                                                     ,LA,30427,ProPlay                  ,0,1978
2013,2.29E+14,Florida Atlantic                                  ,Conference USA                                                             ,229,0,7,574,Rice                                              ,Conference USA                                                             ,1,6,ATEAM     ,12,29,33,33,123,123,136,136,52,52,18,14,10,9,1,3,10,20,1,1,B,1,9/28/2013,127,Rice Stadium                                                               ,TEAM           ,Houston                                                                    ,TX,70000,FieldTurf                ,0,1950
2009,2.29E+14,Florida Atlantic                                  ,Conference USA                                                             ,229,0,16,648,South Carolina                                    ,Southeastern Conference                                                    ,1,17,BTEAM     ,17,17,66,66,176,176,152,152,76,76,20,12,7,3,1,1,5,5,-1,1,B,1,9/19/2009,113,Williams-Brice Stadium                                                     ,TEAM           ,Columbia                                                                   ,SC,80250,Grass                    ,1,1934
