year,game_code,a_team_name,a_name_conference,a_team_code,a_result,a_points,b_team_code,team_name,name_conference,b_result,b_points,half_leader,a_rush,b_rush,a_offense_rush_yards,b_defense_rush_yards,a_defense_rush_yards,b_offense_rush_yards,a_offense_pass_yards,b_defense_pass_yards,a_defense_pass_yards,b_offense_pass_yards,a_pass,b_pass,a_incomplete_pass,b_incomplete_pass,a_penalty,b_penalty,a_penalty_yards,b_penalty_yards,half_diff_score,half_diff_score_abs,hometeam,b_home,visit_date,stadium_code,stadium_name,site,city,state,capacity,surface,surfaceint,year_opened
2013,5.05E+12,Akron                                             ,Mid-American Conference                                                    ,5,0,14,503,Northern Illinois                                 ,Mid-American Conference                                                    ,1,17,BTEAM     ,16,20,14,14,105,105,155,155,131,131,21,28,10,16,1,2,5,20,-3,3,B,1,10/12/2013,45,Huskie Stadium                                                             ,TEAM           ,De Kalb                                                                    ,IL,30076,FieldTurf                ,0,1965
2008,5.05E+12,Ohio                                              ,Mid-American Conference                                                    ,519,1,28,5,Akron                                             ,Mid-American Conference                                                    ,0,21,ATEAM     ,15,22,82,82,61,61,74,74,154,154,11,17,3,7,1,0,10,0,7,7,A,0,11/22/2008,95,Peden Stadium                                                              ,TEAM           ,Athens                                                                     ,OH,24000,FieldTurf                ,0,1929
2012,5.05E+12,Akron                                             ,Mid-American Conference                                                    ,5,0,7,519,Ohio                                              ,Mid-American Conference                                                    ,1,20,BTEAM     ,17,23,72,72,93,93,41,41,132,132,21,20,6,10,0,2,0,10,-13,13,B,1,10/13/2012,95,Peden Stadium                                                              ,TEAM           ,Athens                                                                     ,OH,24000,FieldTurf                ,0,1929
2008,5.07E+12,Syracuse                                          ,Atlantic Coast Conference                                                  ,688,0,14,5,Akron                                             ,Mid-American Conference                                                    ,1,28,BTEAM     ,17,24,84,84,129,129,40,40,154,154,10,15,3,3,2,0,10,0,-14,14,A,0,9/6/2008,92,Carrier Dome                                                               ,TEAM           ,Syracuse                                                                   ,NY,49250,FieldTurf                ,0,1980
2009,5.07E+12,Akron                                             ,Mid-American Conference                                                    ,5,0,7,688,Syracuse                                          ,Atlantic Coast Conference                                                  ,1,14,BTEAM     ,12,19,-33,-33,158,158,123,123,82,82,17,9,5,2,4,2,30,20,-7,7,B,1,10/24/2009,92,Carrier Dome                                                               ,TEAM           ,Syracuse                                                                   ,NY,49250,FieldTurf                ,0,1980
2008,5.07E+12,Temple                                            ,Big East Conference/American Athletic                                      ,690,1,6,5,Akron                                             ,Mid-American Conference                                                    ,0,0,ATEAM     ,23,10,99,99,17,17,84,84,41,41,19,18,10,7,2,2,20,10,6,6,A,0,11/28/2008,109,Lincoln Financial Field                                                    ,TEAM           ,Philadelphia                                                               ,PA,66000,Grass                    ,1,2003
2010,5.07E+12,Akron                                             ,Mid-American Conference                                                    ,5,0,0,690,Temple                                            ,Big East Conference/American Athletic                                      ,1,6,BTEAM     ,14,18,15,15,100,100,80,80,142,142,12,12,4,5,0,1,0,5,-6,6,B,1,10/30/2010,109,Lincoln Financial Field                                                    ,TEAM           ,Philadelphia                                                               ,PA,66000,Grass                    ,1,2003
2012,5.07E+12,Akron                                             ,Mid-American Conference                                                    ,5,0,23,694,Tennessee                                         ,Southeastern Conference                                                    ,1,23,TIED      ,12,27,93,93,121,121,143,143,303,303,22,29,10,11,4,4,25,20,0,0,B,1,9/22/2012,114,Neyland Stadium                                                            ,TEAM           ,Knoxville                                                                  ,TN,102037,Grass                    ,1,1921
2012,5.07E+12,Toledo                                            ,Mid-American Conference                                                    ,709,1,21,5,Akron                                             ,Mid-American Conference                                                    ,0,17,ATEAM     ,11,14,52,52,44,44,167,167,189,189,23,24,5,7,4,3,25,35,4,4,A,0,11/20/2012,102,Glass Bowl                                                                 ,TEAM           ,Toledo                                                                     ,OH,26248,NexTurf                  ,0,1937
2008,5.07E+12,Army                                              ,Independent                                                                ,725,0,0,5,Akron                                             ,Mid-American Conference                                                    ,1,9,BTEAM     ,24,16,47,47,78,78,29,29,157,157,6,13,3,5,4,1,20,15,-9,9,A,0,9/20/2008,93,Michie Stadium                                                             ,TEAM           ,West Point                                                                 ,NY,40000,AstroPlay                ,0,1924
2008,5.08E+12,Akron                                             ,Mid-American Conference                                                    ,5,0,10,796,Wisconsin                                         ,Big Ten Conference                                                         ,1,17,BTEAM     ,14,32,58,58,145,145,97,97,34,34,14,9,8,3,1,2,5,10,-7,7,B,1,8/30/2008,141,Camp Randall Stadium                                                       ,TEAM           ,Madison                                                                    ,WI,79500,FieldTurf                ,0,1917
2008,6.05E+12,Alabama A&M                                       ,Southwestern                                                               ,6,0,10,498,Louisiana-Monroe                                  ,Sun Belt Conference                                                        ,1,21,BTEAM     ,15,18,-51,-51,108,108,216,216,77,77,18,16,8,8,3,2,34,15,-11,11,B,1,9/12/2008,57,Malone Stadium                                                             ,TEAM           ,Monroe                                                                     ,LA,30427,ProPlay                  ,0,1978
2011,7.02E+12,Eastern Michigan                                  ,Mid-American Conference                                                    ,204,1,7,7,Alabama St.                                       ,Southwestern                                                               ,0,0,ATEAM     ,22,18,133,133,6,6,52,52,115,115,12,18,8,8,2,5,15,60,7,7,A,0,9/10/2011,71,Rynearson Stadium                                                          ,TEAM           ,Ypsilanti                                                                  ,MI,30200,FieldTurf                ,0,1969
2010,8.00E+12,Alabama                                           ,Southeastern Conference                                                    ,8,1,7,31,Arkansas                                          ,Southeastern Conference                                                    ,0,17,BTEAM     ,15,13,87,87,48,48,-3,-3,188,188,13,22,2,6,3,2,10,9,-10,10,B,1,9/25/2010,6,Donald W. Reynolds Razorback Stadium                                       ,TEAM           ,Fayetteville                                                               ,AR,72000,Sportexe PowerBlade      ,0,1938
2009,8.00E+12,Auburn                                            ,Southeastern Conference                                                    ,37,0,14,8,Alabama                                           ,Southeastern Conference                                                    ,1,14,TIED      ,21,16,124,124,35,35,67,67,120,120,13,15,6,5,2,4,24,35,0,0,A,0,11/27/2009,1,Jordan-Hare Stadium                                                        ,TEAM           ,Auburn                                                                     ,AL,87451,Grass                    ,1,1939
2008,8.02E+12,Florida                                           ,Southeastern Conference                                                    ,235,1,17,8,Alabama                                           ,Southeastern Conference                                                    ,0,10,ATEAM     ,18,17,85,85,33,33,104,104,92,92,13,11,6,6,0,1,0,5,7,7,A,0,12/6/2008,38,Georgia Dome                                                               ,NEUTRAL        ,Atlanta                                                                    ,GA,71250,FieldTurf                ,0,1992
2011,8.02E+12,Alabama                                           ,Southeastern Conference                                                    ,8,1,24,235,Florida                                           ,Southeastern Conference                                                    ,0,10,ATEAM     ,18,13,78,78,-17,-17,99,99,238,238,14,17,7,4,1,3,5,14,14,14,B,1,10/1/2011,27,Ben Hill Griffin Stadium at Florida Field                                  ,TEAM           ,Gainesville                                                                ,FL,88548,Grass                    ,1,1930
2012,8.03E+12,Georgia                                           ,Southeastern Conference                                                    ,257,0,7,8,Alabama                                           ,Southeastern Conference                                                    ,1,7,TIED      ,13,22,45,45,169,169,103,103,19,19,19,14,7,5,1,4,5,24,0,0,A,0,12/1/2012,38,Georgia Dome                                                               ,NEUTRAL        ,Atlanta                                                                    ,GA,71250,FieldTurf                ,0,1992
2010,8.04E+12,LSU                                               ,Southeastern Conference                                                    ,365,1,3,8,Alabama                                           ,Southeastern Conference                                                    ,0,7,BTEAM     ,18,19,34,34,72,72,50,50,119,119,10,14,4,4,2,1,20,0,-4,4,A,0,11/6/2010,55,Tiger Stadium                                                              ,TEAM           ,Baton Rouge                                                                ,LA,92400,Grass                    ,1,1924
2011,8.04E+12,Alabama                                           ,Southeastern Conference                                                    ,8,1,6,365,LSU                                               ,Southeastern Conference                                                    ,0,0,ATEAM     ,16,10,69,69,17,17,156,156,26,26,25,7,7,2,3,0,15,0,6,6,B,1,1/9/2012,58,Louisiana Superdome                                                        ,NEUTRAL        ,New Orleans                                                                ,LA,69082,FieldTurf                ,0,1975
2012,8.04E+12,Alabama                                           ,Southeastern Conference                                                    ,8,1,14,365,LSU                                               ,Southeastern Conference                                                    ,0,3,ATEAM     ,15,22,111,111,88,88,93,93,55,55,15,19,6,8,2,1,26,15,11,11,B,1,11/3/2012,55,Tiger Stadium                                                              ,TEAM           ,Baton Rouge                                                                ,LA,92400,Grass                    ,1,1924
2009,8.04E+12,Alabama                                           ,Southeastern Conference                                                    ,8,1,14,430,Mississippi State                                 ,Southeastern Conference                                                    ,0,0,ATEAM     ,21,17,127,127,3,3,68,68,-8,-8,12,7,2,2,1,2,5,20,14,14,B,1,11/14/2009,77,Davis Wade Stadium at Scott Field                                          ,TEAM           ,Starkville                                                                 ,MS,55082,Grass                    ,1,1914
2011,8.04E+12,Mississippi State                                 ,Southeastern Conference                                                    ,430,0,0,8,Alabama                                           ,Southeastern Conference                                                    ,1,7,BTEAM     ,17,16,45,45,45,45,62,62,142,142,15,15,7,7,2,4,10,27,-7,7,A,0,11/12/2011,77,Davis Wade Stadium at Scott Field                                          ,TEAM           ,Starkville                                                                 ,MS,55082,Grass                    ,1,1914
2013,8.04E+12,Mississippi State                                 ,Southeastern Conference                                                    ,430,0,0,8,Alabama                                           ,Southeastern Conference                                                    ,1,10,BTEAM     ,9,16,37,37,99,99,77,77,75,75,15,19,6,9,1,1,2,5,-10,10,A,0,11/16/2013,77,Davis Wade Stadium at Scott Field                                          ,TEAM           ,Starkville                                                                 ,MS,55082,Grass                    ,1,1914
2011,8.04E+12,Alabama                                           ,Southeastern Conference                                                    ,8,1,17,433,Mississippi                                       ,Southeastern Conference                                                    ,0,7,ATEAM     ,21,11,79,79,2,2,132,132,93,93,17,12,4,7,0,1,0,10,10,10,B,1,10/15/2011,76,Vaught-Hemingway Stadium                                                   ,TEAM           ,Oxford                                                                     ,MS,60580,AstroPlay                ,0,1915
2011,8.05E+12,Alabama                                           ,Southeastern Conference                                                    ,8,1,17,539,Penn State                                        ,Big Ten Conference                                                         ,0,3,ATEAM     ,17,15,58,58,42,42,107,107,33,33,19,17,6,12,0,0,0,0,14,14,B,1,9/10/2011,111,Beaver Stadium                                                             ,TEAM           ,University Park                                                            ,PA,107282,Grass                    ,1,1960
2010,8.06E+12,South Carolina                                    ,Southeastern Conference                                                    ,648,1,21,8,Alabama                                           ,Southeastern Conference                                                    ,0,9,ATEAM     ,12,17,54,54,51,51,100,100,153,153,9,21,0,5,1,0,5,0,12,12,A,0,10/9/2010,113,Williams-Brice Stadium                                                     ,TEAM           ,Columbia                                                                   ,SC,80250,Grass                    ,1,1934
2008,8.07E+12,Tennessee                                         ,Southeastern Conference                                                    ,694,0,3,8,Alabama                                           ,Southeastern Conference                                                    ,1,13,BTEAM     ,15,12,29,29,29,29,83,83,117,117,17,17,8,7,0,3,0,25,-10,10,A,0,10/25/2008,114,Neyland Stadium                                                            ,TEAM           ,Knoxville                                                                  ,TN,102037,Grass                    ,1,1921
2010,8.07E+12,Alabama                                           ,Southeastern Conference                                                    ,8,1,13,694,Tennessee                                         ,Southeastern Conference                                                    ,0,7,ATEAM     ,16,11,88,88,105,105,160,160,59,59,25,17,8,11,3,1,18,15,6,6,B,1,10/23/2010,114,Neyland Stadium                                                            ,TEAM           ,Knoxville                                                                  ,TN,102037,Grass                    ,1,1921
2012,8.07E+12,Alabama                                           ,Southeastern Conference                                                    ,8,1,23,694,Tennessee                                         ,Southeastern Conference                                                    ,0,10,ATEAM     ,20,14,87,87,29,29,157,157,148,148,15,16,5,7,0,2,0,8,13,13,B,1,10/20/2012,114,Neyland Stadium                                                            ,TEAM           ,Knoxville                                                                  ,TN,102037,Grass                    ,1,1921
2013,8.07E+12,Alabama                                           ,Southeastern Conference                                                    ,8,1,28,697,Texas A&M                                         ,Southeastern Conference                                                    ,0,14,ATEAM     ,12,18,84,84,71,71,242,242,153,153,18,21,5,4,3,5,25,50,14,14,B,1,9/14/2013,120,Kyle Field                                                                 ,TEAM           ,College Station                                                            ,TX,82600,Grass                    ,1,1929
2009,8.07E+12,Alabama                                           ,Southeastern Conference                                                    ,8,1,16,742,Virginia Tech                                     ,Atlantic Coast Conference                                                  ,0,17,BTEAM     ,23,16,138,138,9,9,166,166,73,73,18,11,11,6,0,3,0,18,-1,1,B,1,9/5/2009,38,Georgia Dome                                                               ,NEUTRAL        ,Atlanta                                                                    ,GA,71250,FieldTurf                ,0,1992
2008,9.01E+12,UAB                                               ,Conference USA                                                             ,9,1,9,128,UCF                                               ,Big East Conference/American Athletic                                      ,0,0,ATEAM     ,22,14,60,60,65,65,141,141,19,19,18,11,5,8,0,2,0,15,9,9,B,1,11/29/2008,146,Bright House Networks Stadium                                              ,TEAM           ,Orlando                                                                    ,FL,45301,Grass                    ,1,2007
2011,9.02E+12,UAB                                               ,Conference USA                                                             ,9,0,10,196,East Carolina                                     ,Conference USA                                                             ,1,14,BTEAM     ,18,15,35,35,89,89,77,77,130,130,21,22,6,4,0,0,0,0,-4,4,B,1,9/24/2011,81,Dowdy Ficklen Stadium                                                      ,TEAM           ,Greenville                                                                 ,NC,43000,Grass                    ,1,1963
2008,9.02E+12,UAB                                               ,Conference USA                                                             ,9,0,17,229,Florida Atlantic                                  ,Conference USA                                                             ,1,28,BTEAM     ,12,16,62,62,105,105,139,139,201,201,22,22,10,9,3,3,35,20,-11,11,B,1,9/6/2008,26,Lockhart Stadium                                                           ,TEAM           ,Fort Lauderdale                                                            ,FL,20450,Grass                    ,1,1959
2011,9.02E+12,UAB                                               ,Conference USA                                                             ,9,0,14,229,Florida Atlantic                                  ,Conference USA                                                             ,1,17,BTEAM     ,23,19,163,163,11,11,125,125,115,115,10,15,3,5,3,1,30,5,-3,3,B,1,11/26/2011,159,FAU Stadium                                                                ,TEAM           ,Boca Raton                                                                 ,FL,30000,Grass                    ,1,2011
2013,9.02E+12,Florida International                             ,Conference USA                                                             ,231,0,16,9,UAB                                               ,Conference USA                                                             ,1,21,BTEAM     ,18,20,51,51,99,99,153,153,162,162,22,17,11,4,4,1,22,2,-5,5,A,0,10/12/2013,31,FIU Stadium                                                                ,TEAM           ,Miami                                                                      ,FL,17000,AstroPlay                ,0,1995
2012,9.03E+12,Houston                                           ,Big East Conference/American Athletic                                      ,288,1,16,9,UAB                                               ,Conference USA                                                             ,0,10,ATEAM     ,25,15,112,112,-10,-10,230,230,145,145,24,19,7,9,7,3,50,45,6,6,A,0,10/13/2012,126,Robertson Stadium                                                          ,TEAM           ,Houston                                                                    ,TX,32000,Grass                    ,1,1946
2009,9.04E+12,UAB                                               ,Conference USA                                                             ,9,0,7,388,Marshall                                          ,Conference USA                                                             ,1,17,BTEAM     ,19,11,79,79,-53,-53,148,148,235,235,19,29,6,10,2,7,10,50,-10,10,B,1,10/24/2009,142,Joan Edwards Stadium                                                       ,TEAM           ,Huntington                                                                 ,WV,38016,FieldTurf                ,0,1991
2009,9.04E+12,UAB                                               ,Conference USA                                                             ,9,1,21,404,Memphis                                           ,Big East Conference/American Athletic                                      ,0,7,ATEAM     ,18,13,30,30,8,8,219,219,41,41,15,19,4,7,4,0,20,0,14,14,B,1,11/14/2009,115,Liberty Bowl                                                               ,TEAM           ,Memphis                                                                    ,TN,62380,FieldTurf                ,0,1965
2011,9.04E+12,UAB                                               ,Conference USA                                                             ,9,1,10,404,Memphis                                           ,Big East Conference/American Athletic                                      ,0,21,BTEAM     ,16,19,128,128,95,95,68,68,143,143,15,16,7,3,2,3,20,10,-11,11,B,1,11/12/2011,115,Liberty Bowl                                                               ,TEAM           ,Memphis                                                                    ,TN,62380,FieldTurf                ,0,1965
2010,9.04E+12,Mississippi State                                 ,Southeastern Conference                                                    ,430,1,10,9,UAB                                               ,Conference USA                                                             ,0,10,TIED      ,19,20,81,81,73,73,29,29,144,144,10,27,6,13,2,7,12,35,0,0,A,0,10/23/2010,77,Davis Wade Stadium at Scott Field                                          ,TEAM           ,Starkville                                                                 ,MS,55082,Grass                    ,1,1914
2012,9.05E+12,Ohio State                                        ,Big Ten Conference                                                         ,518,1,21,9,UAB                                               ,Conference USA                                                             ,0,12,ATEAM     ,20,17,127,127,28,28,88,88,145,145,11,20,4,7,1,2,5,10,9,9,A,0,9/22/2012,99,Ohio Stadium                                                               ,TEAM           ,Columbus                                                                   ,OH,102329,FieldTurf                ,0,1922
2010,9.06E+12,UAB                                               ,Conference USA                                                             ,9,0,14,574,Rice                                              ,Conference USA                                                             ,1,14,TIED      ,11,24,36,36,111,111,138,138,85,85,19,16,9,8,2,3,20,29,0,0,B,1,11/27/2010,127,Rice Stadium                                                               ,TEAM           ,Houston                                                                    ,TX,70000,FieldTurf                ,0,1950
2008,9.06E+12,South Carolina                                    ,Southeastern Conference                                                    ,648,1,20,9,UAB                                               ,Conference USA                                                             ,0,6,ATEAM     ,22,12,36,36,28,28,119,119,57,57,18,14,7,8,7,1,55,4,14,14,A,0,9/27/2008,113,Williams-Brice Stadium                                                     ,TEAM           ,Columbia                                                                   ,SC,80250,Grass                    ,1,1934
2010,9.07E+12,UAB                                               ,Conference USA                                                             ,9,0,7,663,SMU                                               ,Big East Conference/American Athletic                                      ,1,14,BTEAM     ,16,19,79,79,108,108,17,17,175,175,8,19,5,7,2,1,15,5,-7,7,B,1,9/11/2010,122,Gerald Ford Stadium                                                        ,TEAM           ,Dallas                                                                     ,TX,32000,A-Turf                   ,0,2000
2010,9.07E+12,Southern Mississippi                              ,Conference USA                                                             ,664,1,6,9,UAB                                               ,Conference USA                                                             ,0,14,BTEAM     ,14,24,81,81,125,125,57,57,126,126,23,21,10,6,1,0,5,0,-8,8,A,0,10/30/2010,75,Roberts Stadium                                                            ,TEAM           ,Hattiesburg                                                                ,MS,33000,Sportexe Momentum        ,0,1976
2008,9.07E+12,Tennessee                                         ,Southeastern Conference                                                    ,694,1,14,9,UAB                                               ,Conference USA                                                             ,0,0,ATEAM     ,12,17,6,6,-25,-25,211,211,12,12,18,19,6,8,4,3,30,25,14,14,A,0,9/13/2008,114,Neyland Stadium                                                            ,TEAM           ,Knoxville                                                                  ,TN,102037,Grass                    ,1,1921
2009,9.07E+12,UAB                                               ,Conference USA                                                             ,9,1,28,704,UTEP                                              ,Conference USA                                                             ,0,16,ATEAM     ,12,22,130,130,99,99,91,91,201,201,9,29,4,11,3,3,12,35,12,12,B,1,10/31/2009,124,Sun Bowl                                                                   ,TEAM           ,El Paso                                                                    ,TX,50426,AstroPlay                ,0,1963
2009,9.07E+12,UAB                                               ,Conference USA                                                             ,9,0,0,716,Troy                                              ,Sun Belt Conference                                                        ,1,10,BTEAM     ,14,17,60,60,73,73,26,26,171,171,15,17,6,4,9,3,74,20,-10,10,B,1,9/19/2009,4,Movie Gallery Veterans Stadium                                             ,TEAM           ,Troy                                                                       ,AL,30000,AstroPlay                ,0,1950
2011,9.07E+12,Troy                                              ,Sun Belt Conference                                                        ,716,1,14,9,UAB                                               ,Conference USA                                                             ,0,13,ATEAM     ,14,24,65,65,67,67,133,133,84,84,24,18,9,7,1,2,5,10,1,1,A,0,10/1/2011,4,Movie Gallery Veterans Stadium                                             ,TEAM           ,Troy                                                                       ,AL,30000,AstroPlay                ,0,1950
2008,9.07E+12,UAB                                               ,Conference USA                                                             ,9,1,17,718,Tulane                                            ,Conference USA                                                             ,0,14,ATEAM     ,20,14,153,153,55,55,90,90,104,104,13,13,4,5,2,3,7,14,3,3,B,1,11/15/2008,58,Louisiana Superdome                                                        ,TEAM           ,New Orleans                                                                ,LA,69082,FieldTurf                ,0,1975
