year,game_code,Your Team,a_name_conference,a_result,a_points,a_rush,a_offense_rush_yards,a_defense_rush_yards,a_offense_pass_yards,a_defense_pass_yards,a_pass,a_incomplete_pass,a_penalty,a_penalty_yards,visit_date,stadium_name,city,state,capacity,surface,surfaceint,year_opened
2010,5.22E+14,Texas A&M                                         ,Southeastern Conference                                                    ,1,12,21,114,-68,96,77,17,5,1,9,11/21/2009,Jones SBC Stadium                                                          ,Lubbock                                                                    ,TX,50000,FieldTurf                ,0,1947
2010,4.54E+14,Kent State                                        ,Mid-American Conference                                                    ,1,24,16,56,-16,200,105,23,6,1,5,9/2/2010,Dix Stadium                                                                ,Kent                                                                       ,OH,29287,FieldTurf                ,0,1969
2010,4.85E+14,Rutgers                                           ,Big East Conference/American Athletic                                      ,1,3,23,114,-60,100,111,15,8,1,5,9/2/2010,High Point Solutions Stadium                                               ,Piscataway                                                                 ,NJ,52454,FieldTurf                ,0,1994
2010,6.54E+14,Southeast Missouri State                          ,OVC                                                                        ,0,7,16,11,85,52,94,8,2,5,35,9/2/2010,Scheumann Stadium                                                          ,Munice                                                                     ,IN,22500,FieldTurf                ,0,1967
2010,6.55E+14,Southeastern Louisiana                            ,Southland                                                                  ,0,7,13,103,-2,68,89,11,5,1,5,9/2/2010,Louisiana Superdome                                                        ,New Orleans                                                                ,LA,69082,FieldTurf                ,0,1975
2010,6.57E+14,USC                                               ,Pac-12/Pac-10 Conference                                                   ,1,27,18,101,79,178,176,19,4,2,20,9/2/2010,Aloha Stadium                                                              ,Honolulu                                                                   ,HI,50000,FieldTurf                ,0,1975
2010,7.39E+14,Temple                                            ,Big East Conference/American Athletic                                      ,1,10,13,37,74,72,111,12,5,3,23,9/3/2010,Lincoln Financial Field                                                    ,Philadelphia                                                               ,PA,66000,Grass                    ,1,2003
2010,7.11E+13,Troy                                              ,Sun Belt Conference                                                        ,1,17,22,68,111,179,95,20,4,7,35,9/4/2010,Movie Gallery Veterans Stadium                                             ,Troy                                                                       ,AL,30000,AstroPlay                ,0,1950
2010,1.10E+14,Kansas State                                      ,Big 12 Conference                                                          ,1,7,26,163,65,39,54,11,5,4,30,9/4/2010,Bill Snyder Family                                                         ,Manhattan                                                                  ,KS,50300,FieldTurf                ,0,1968
2010,1.40E+14,Fresno State                                      ,Mountain West Conference                                                   ,1,14,13,22,30,147,153,15,6,3,19,9/4/2010,Bulldog Stadium                                                            ,Fresno                                                                     ,CA,41000,Grass                    ,1,1980
2010,1.49E+14,Coastal Carolina                                  ,Big South                                                                  ,0,0,12,24,95,-32,58,11,4,0,0,9/4/2010,Mountaineer Field                                                          ,Morgantown                                                                 ,WV,63500,FieldTurf                ,0,1980
2010,1.64E+14,Michigan                                          ,Big Ten Conference                                                         ,1,21,29,182,51,70,135,9,1,1,5,9/4/2010,Michigan Stadium                                                           ,Ann Arbor                                                                  ,MI,107501,FieldTurf                ,0,1927
2010,3.66E+14,Grambling                                         ,Southwestern                                                               ,0,3,18,64,97,144,84,10,4,6,38,9/4/2010,Independence Stadium                                                       ,Shreveport                                                                 ,LA,53000,AstroPlay                ,0,1976
2010,4.97E+14,North Texas                                       ,Conference USA                                                             ,0,7,29,114,103,124,116,15,5,2,15,9/4/2010,Memorial Stadium                                                           ,Clemson                                                                    ,SC,86400,Grass                    ,1,1942
2010,5.08E+14,Air Force                                         ,Mountain West Conference                                                   ,1,24,22,139,39,79,209,5,2,3,30,9/4/2010,Falcon Stadium                                                             ,Colorado Springs                                                           ,CO,46692,FieldTurf                ,0,1962
2010,5.09E+14,Northwestern                                      ,Big Ten Conference                                                         ,1,10,25,76,97,95,121,8,1,1,4,9/4/2010,Vanderbilt Stadium                                                         ,Nashville                                                                  ,TN,39773,Grass                    ,1,1922
2010,5.28E+14,TCU                                               ,Big 12 Conference                                                          ,1,21,24,119,36,103,129,13,4,4,30,9/4/2010,Cowboys Stadium                                                            ,Arlington                                                                  ,TX,80000,SoftTop Turf System      ,0,2009
2010,5.59E+14,Purdue                                            ,Big Ten Conference                                                         ,0,3,18,79,105,36,123,18,4,1,5,9/4/2010,Notre Dame Stadium                                                         ,South Bend                                                                 ,IN,80795,Grass                    ,1,1930
2010,5.75E+14,Richmond                                          ,Colonial                                                                   ,0,10,14,100,83,50,209,14,7,1,10,9/4/2010,Scott Stadium                                                              ,Charlottesville                                                            ,VA,60000,Grass                    ,1,1931
2010,6.67E+14,Southern Utah                                     ,Big Sky                                                                    ,0,10,20,86,42,77,138,16,6,3,20,9/4/2010,War Memorial Stadium                                                       ,Laramie                                                                    ,WY,33500,FieldTurf                ,0,1950
2010,6.88E+14,Akron                                             ,Mid-American Conference                                                    ,0,3,8,26,124,24,169,14,11,3,18,9/4/2010,InfoCision Stadium-Summa Field                                             ,Akron                                                                      ,OH,30000,ProGrass                 ,0,2009
2010,7.03E+14,Texas                                             ,Big 12 Conference                                                          ,1,24,21,-20,145,101,150,12,3,3,10,9/4/2010,Rice Stadium                                                               ,Houston                                                                    ,TX,70000,FieldTurf                ,0,1950
2010,7.25E+14,Army                                              ,Independent                                                                ,1,14,24,102,223,41,-44,8,5,0,0,9/4/2010,Rynearson Stadium                                                          ,Ypsilanti                                                                  ,MI,30200,FieldTurf                ,0,1969
2010,7.31E+14,Utah State                                        ,Mountain West Conference                                                   ,0,10,24,33,74,173,64,21,12,6,65,9/4/2010,Memorial Stadium at Owen Field                                             ,Norman                                                                     ,OK,81207,Grass                    ,1,1923
2010,7.56E+14,Washington                                        ,Pac-12/Pac-10 Conference                                                   ,0,14,18,93,69,122,129,19,9,2,20,9/4/2010,LaVell Edwards Stadium                                                     ,Provo                                                                      ,UT,65000,Grass                    ,1,1964
2010,7.96E+14,UNLV                                              ,Mountain West Conference                                                   ,0,14,7,-9,132,32,203,8,5,2,10,9/4/2010,Sam Boyd Stadium                                                           ,Las Vegas                                                                  ,NV,36800,TurfTech                 ,0,1971
2010,8.17E+14,Penn State                                        ,Big Ten Conference                                                         ,1,13,15,50,-3,129,113,19,6,5,40,9/4/2010,Beaver Stadium                                                             ,University Park                                                            ,PA,107282,Grass                    ,1,1960
2010,1.07E+15,Duke                                              ,Atlantic Coast Conference                                                  ,1,24,16,60,31,236,176,21,4,5,44,9/4/2010,Wallace Wade Stadium                                                       ,Durham                                                                     ,NC,33941,Grass                    ,1,1929
2010,2.68E+15,UTEP                                              ,Conference USA                                                             ,1,14,18,-49,58,133,179,14,4,2,15,9/4/2010,Sun Bowl                                                                   ,El Paso                                                                    ,TX,50426,AstroPlay                ,0,1963
2010,2.92E+15,Wofford                                           ,Southern                                                                   ,0,7,26,187,105,0,-26,2,2,1,5,9/4/2010,Peden Stadium                                                              ,Athens                                                                     ,OH,24000,FieldTurf                ,0,1929
2010,7.19E+14,Tulsa                                             ,Conference USA                                                             ,0,16,21,126,101,175,90,21,8,3,20,9/5/2010,Dowdy Ficklen Stadium                                                      ,Greenville                                                                 ,NC,43000,Grass                    ,1,1963
2010,6.61E+13,Boise State                                       ,Mountain West Conference                                                   ,1,20,10,78,92,95,90,20,9,4,33,9/6/2010,FedEx Field                                                                ,Landover                                                                   ,MD,80116,Grass                    ,1,1997
2010,7.26E+14,Navy                                              ,Independent                                                                ,0,7,35,107,171,32,-50,4,2,2,10,9/6/2010,M&T Bank Stadium                                                           ,Baltimore                                                                  ,MD,69084,Sportexe Momentum        ,0,1998
2010,3.70E+13,Mississippi State                                 ,Southeastern Conference                                                    ,0,7,21,91,130,44,32,11,5,1,5,9/9/2010,Davis Wade Stadium at Scott Field                                          ,Starkville                                                                 ,MS,55082,Grass                    ,1,1914
2010,7.68E+14,West Virginia                                     ,Big 12 Conference                                                          ,1,3,19,-27,68,115,140,14,3,1,4,9/10/2010,Joan Edwards Stadium                                                       ,Huntington                                                                 ,WV,38016,FieldTurf                ,0,1991
2010,9.07E+12,UAB                                               ,Conference USA                                                             ,0,7,16,79,108,17,175,8,5,2,15,9/11/2010,Gerald Ford Stadium                                                        ,Dallas                                                                     ,TX,32000,A-Turf                   ,0,2000
2010,3.10E+13,Arkansas                                          ,Southeastern Conference                                                    ,1,7,13,20,57,158,4,23,9,5,40,9/11/2010,War Memorial Stadium                                                       ,Little Rock                                                                ,AR,53727,FieldTurf                ,0,1948
2010,7.11E+13,Bowling Green                                     ,Mid-American Conference                                                    ,0,14,16,28,129,59,337,17,3,2,20,9/11/2010,Skelly Stadium                                                             ,Tulsa                                                                      ,OK,40385,FieldTurf                ,0,1930
2010,7.71E+13,Air Force                                         ,Mountain West Conference                                                   ,1,21,27,131,92,65,104,7,3,5,35,9/11/2010,Falcon Stadium                                                             ,Colorado Springs                                                           ,CO,46692,FieldTurf                ,0,1962
2010,2.04E+14,Eastern Michigan                                  ,Mid-American Conference                                                    ,0,14,16,39,137,88,52,15,6,1,5,9/11/2010,Fred C. Yager Stadium                                                      ,Oxford                                                                     ,OH,30012,FieldTurf                ,0,1983
2010,2.53E+14,Georgia Southern                                  ,Southern                                                                   ,0,0,16,96,92,12,12,5,3,3,15,9/11/2010,Navy-Marine Corps Memorial Stadium                                         ,Annapolis                                                                  ,MD,35000,FieldTurf                ,0,1959
2010,2.55E+14,Georgia Tech                                      ,Atlantic Coast Conference                                                  ,0,17,28,182,55,25,96,7,5,1,5,9/11/2010,Memorial Stadium                                                           ,Lawrence                                                                   ,KS,50250,AstroPlay                ,0,1921
2010,2.57E+14,Georgia                                           ,Southeastern Conference                                                    ,0,3,13,41,117,32,97,8,4,2,10,9/11/2010,Williams-Brice Stadium                                                     ,Columbia                                                                   ,SC,80250,Grass                    ,1,1934
2010,2.94E+14,Utah State                                        ,Mountain West Conference                                                   ,1,17,24,124,36,161,67,21,4,3,10,9/11/2010,Romney Stadium                                                             ,Logan                                                                      ,UT,30257,SportsTurf               ,0,1968
2010,3.05E+14,Cincinnati                                        ,Big East Conference/American Athletic                                      ,1,12,17,80,30,97,88,13,5,3,30,9/11/2010,Nippert Stadium                                                            ,Cincinnati                                                                 ,OH,38000,FieldTurf                ,0,1916
2010,3.17E+14,Virginia Tech                                     ,Atlantic Coast Conference                                                  ,0,13,27,110,16,69,73,11,3,3,25,9/11/2010,Lane Stadium                                                               ,Blacksburg                                                                 ,VA,66233,Grass                    ,1,1965
2010,3.55E+14,Liberty                                           ,Big South                                                                  ,1,14,15,59,11,139,114,19,7,1,9,9/11/2010,Scheumann Stadium                                                          ,Munice                                                                     ,IN,22500,FieldTurf                ,0,1967
2010,3.65E+14,Vanderbilt                                        ,Southeastern Conference                                                    ,0,0,17,-22,78,37,37,9,5,1,3,9/11/2010,Vanderbilt Stadium                                                         ,Nashville                                                                  ,TN,39773,Grass                    ,1,1922
2010,3.66E+14,Texas A&M                                         ,Southeastern Conference                                                    ,1,20,18,-26,-95,207,88,19,6,2,27,9/11/2010,Kyle Field                                                                 ,College Station                                                            ,TX,82600,Grass                    ,1,1929
2010,4.15E+14,Miami (Florida)                                   ,Atlantic Coast Conference                                                  ,0,17,14,28,69,229,175,14,5,0,0,9/11/2010,Ohio Stadium                                                               ,Columbus                                                                   ,OH,102329,FieldTurf                ,0,1922
2010,4.16E+14,Florida Atlantic                                  ,Conference USA                                                             ,0,7,14,13,75,84,97,16,6,2,19,9/11/2010,Ford Field                                                                 ,Detroit                                                                    ,MI,65000,FieldTurf                ,0,2002
2010,4.40E+14,Washington State                                  ,Pac-12/Pac-10 Conference                                                   ,1,7,16,97,96,104,110,13,5,2,9,9/11/2010,Martin Stadium                                                             ,Pullman                                                                    ,WA,40000,FieldTurf                ,0,1972
2010,4.69E+14,Pittsburgh                                        ,Atlantic Coast Conference                                                  ,1,17,17,33,10,114,172,19,8,3,24,9/11/2010,Heinz Field                                                                ,Pittsburgh                                                                 ,PA,64450,Grass                    ,1,2001
2010,4.83E+14,Nicholls State                                    ,Southland                                                                  ,0,14,15,12,70,93,269,12,3,5,26,9/11/2010,Waldo Stadium                                                              ,Kalamazoo                                                                  ,MI,30200,FieldTurf                ,0,1937
2010,4.90E+14,North Carolina State                              ,Atlantic Coast Conference                                                  ,1,21,21,104,5,64,99,16,9,1,10,9/11/2010,Bright House Networks Stadium                                              ,Orlando                                                                    ,FL,45301,Grass                    ,1,2007
2010,4.94E+14,North Dakota                                      ,Big Sky                                                                    ,0,7,19,-58,234,83,165,12,5,6,50,9/11/2010,Huskie Stadium                                                             ,De Kalb                                                                    ,IL,30076,FieldTurf                ,0,1965
2010,5.29E+14,Oregon                                            ,Pac-12/Pac-10 Conference                                                   ,1,13,17,68,162,144,36,23,11,1,5,9/11/2010,Neyland Stadium                                                            ,Knoxville                                                                  ,TN,102037,Grass                    ,1,1921
2010,5.74E+14,Rice                                              ,Conference USA                                                             ,1,23,16,23,159,59,111,18,9,2,20,9/11/2010,Fouts Field                                                                ,Denton                                                                     ,TX,30500,AstroTurf                ,0,1951
2010,5.87E+14,Rutgers                                           ,Big East Conference/American Athletic                                      ,1,13,17,20,118,28,155,11,5,3,20,9/11/2010,FIU Stadium                                                                ,Miami                                                                      ,FL,17000,AstroPlay                ,0,1995
2010,6.30E+14,San Jose State                                    ,Mountain West Conference                                                   ,0,0,12,28,-84,136,124,14,5,1,15,9/11/2010,Camp Randall Stadium                                                       ,Madison                                                                    ,WI,79500,FieldTurf                ,0,1917
2010,6.50E+14,South Dakota                                      ,MVFC/Gateway                                                               ,1,21,11,22,52,233,60,16,5,1,5,9/11/2010,TCF Bank Stadium                                                           ,Minneapolis                                                                ,MN,50805,FieldTurf                ,0,2009
2010,6.51E+14,South Florida                                     ,Big East Conference/American Athletic                                      ,0,7,22,142,62,68,102,11,7,3,17,9/11/2010,Ben Hill Griffin Stadium at Florida Field                                  ,Gainesville                                                                ,FL,88548,Grass                    ,1,1930
2010,6.88E+14,Washington                                        ,Pac-12/Pac-10 Conference                                                   ,1,13,15,54,41,111,108,22,10,2,10,9/11/2010,Husky Stadium                                                              ,Seattle                                                                    ,WA,72500,FieldTurf                ,0,1920
2010,7.00E+14,New Mexico                                        ,Mountain West Conference                                                   ,0,17,12,64,-4,179,246,22,6,6,59,9/11/2010,University Stadium                                                         ,Albuquerque                                                                ,NM,40000,Grass                    ,1,1960
2010,7.16E+14,Oklahoma State                                    ,Big 12 Conference                                                          ,1,20,17,113,47,226,115,22,6,2,22,9/11/2010,Boone Pickens Stadium at Lewis Field                                       ,Stillwater                                                                 ,OK,53000,AstroPlay                ,0,1920
2010,7.71E+14,Western Illinois                                  ,MVFC/Gateway                                                               ,0,7,16,55,89,116,160,16,4,2,20,9/11/2010,Ross-Ade Stadium                                                           ,West Lafayette                                                             ,IN,68000,Grass                    ,1,1924
2010,8.11E+14,Wyoming                                           ,Mountain West Conference                                                   ,0,7,14,49,88,64,164,12,6,4,30,9/11/2010,Royal Memorial Stadium                                                     ,Austin                                                                     ,TX,94113,FieldTurf                ,0,1924
2010,1.40E+14,Cincinnati                                        ,Big East Conference/American Athletic                                      ,0,7,19,71,101,113,170,16,8,5,25,9/16/2010,Carter Finley Stadium                                                      ,Raleigh                                                                    ,NC,56800,Grass                    ,1,1966
2010,1.07E+14,California                                        ,Pac-12/Pac-10 Conference                                                   ,0,14,14,80,219,6,117,7,2,2,10,9/17/2010,Mackay Stadium                                                             ,Reno                                                                       ,NV,31000,FieldTurf                ,0,1966
2010,2.81E+13,Arizona State                                     ,Pac-12/Pac-10 Conference                                                   ,0,10,15,93,57,83,166,13,4,1,10,9/18/2010,Camp Randall Stadium                                                       ,Madison                                                                    ,WI,79500,FieldTurf                ,0,1917
2010,3.10E+13,Georgia                                           ,Southeastern Conference                                                    ,0,7,22,65,9,67,244,6,2,4,15,9/18/2010,Sanford Stadium                                                            ,Athens                                                                     ,GA,92746,Grass                    ,1,1929
2010,4.71E+13,Purdue                                            ,Big Ten Conference                                                         ,1,14,20,70,62,100,9,14,4,3,19,9/18/2010,Ross-Ade Stadium                                                           ,West Lafayette                                                             ,IN,68000,Grass                    ,1,1924
2010,7.70E+13,BYU                                               ,Independent                                                                ,0,10,20,167,146,62,-8,17,7,4,30,9/18/2010,Doak Campbell Stadium                                                      ,Tallahassee                                                                ,FL,80000,Grass                    ,1,1950
2010,9.61E+13,Fresno State                                      ,Mountain West Conference                                                   ,1,17,16,73,117,82,68,11,3,1,9,9/18/2010,Romney Stadium                                                             ,Logan                                                                      ,UT,30257,SportsTurf               ,0,1968
2010,1.28E+14,UCF                                               ,Big East Conference/American Athletic                                      ,1,10,16,43,44,78,163,18,6,0,0,9/18/2010,UB Stadium                                                                 ,Buffalo                                                                    ,NY,31000,Sportexe Momentum        ,0,1993
2010,1.29E+14,Central Michigan                                  ,Mid-American Conference                                                    ,1,21,20,24,57,181,80,14,7,1,5,9/18/2010,Rynearson Stadium                                                          ,Ypsilanti                                                                  ,MI,30200,FieldTurf                ,0,1969
2010,1.56E+14,Miami (Ohio)                                      ,Mid-American Conference                                                    ,1,17,16,-4,2,99,164,12,2,2,10,9/18/2010,Fred C. Yager Stadium                                                      ,Oxford                                                                     ,OH,30012,FieldTurf                ,0,1983
2010,1.96E+14,Virginia Tech                                     ,Atlantic Coast Conference                                                  ,1,21,15,70,74,105,200,9,4,4,40,9/18/2010,Lane Stadium                                                               ,Blacksburg                                                                 ,VA,66233,Grass                    ,1,1965
2010,2.31E+14,Texas A&M                                         ,Southeastern Conference                                                    ,1,6,22,98,16,44,77,15,8,3,15,9/18/2010,Kyle Field                                                                 ,College Station                                                            ,TX,82600,Grass                    ,1,1929
2010,2.35E+14,Florida                                           ,Southeastern Conference                                                    ,1,7,18,0,16,75,-24,10,4,3,10,9/18/2010,Neyland Stadium                                                            ,Knoxville                                                                  ,TN,102037,Grass                    ,1,1921
